"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://bluegrassdoodle.com/","text/html","200","OK","Indexable","","Bluegrass Doodles | Kentucky's Premium Doodle Breeder","53","505","Premium Doodle breeder located in Southeastern Kentucky. Offering Goldendoodles, Cockapoo, Labradoodles and Bernedoodles.","121","797","Cockapoo breeders in KY, Doodle, doodle farms, lake cumberland, kentucky, doodle farm, farmer doodles, doodles shopify, f1 cockapoo, cockapoo, eastern kentucky, farm puppies, f1 doodle, f1b doodles, mini doodle, akc, top farm, premium doodles, mini goldendoodle ky for sale, doodles near me, doodles in kentucky","311","Bluegrass Doodles","17","","0","Our History","11","","0","","","","","","","","","","10743","3890","3890","1.379","","136","34","4.000","67.166","Normal","9.862","0","0","","4","1","0","4.000","18","14","0","4","4","0","","","","","b9e0b80df12265ff77e1794bd4136b43","0.276","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/","2024-10-13 00:54:46"
"https://bluegrassdoodle.com/path/to/bootstrap/css/bootstrap.min.css","text/html; charset=iso-8859-1","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","315","315","315","0.112","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.285","","","","","","1.1","","https://bluegrassdoodle.com/path/to/bootstrap/css/bootstrap.min.css","2024-10-13 00:54:47"
"https://bluegrassdoodle.com/comingsoon.html","text/html","200","OK","Indexable","","Upcoming Litters of Doodles","27","253","Checkout our upcoming puppy litters. Bluegrass Doodles offers Cockapoo's, GoldenDoodle's & LabraDoodles.","104","673","Cockapoo in London, KY, Cockapoo Dogs and Puppies for sale, Cockapoo Pups, f1, f1b, f1bb, groodles, Cockapoo, Cockapoo Puppies For Sale, Cockerspaniel, Cocker Spaniel, Doodles kentucky, Poodle, AKC, Cockapoo Dogs London Kentucky, Bluegrass, Kentucky, Kentucky Doodles, Goldendoodles, Labradoodles, doodles","305","Bluegrass Doodles","17","","0","Planned 2024 Litters","20","","0","","","","","","","","","","10663","2915","2915","1.033","","67","30","2.233","83.350","Easy","5.829","1","0","","17","12","0","48.000","16","11","0","5","5","0","","","","","c470e057d250f96e905203339942fab4","0.284","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/comingsoon.html","2024-10-13 00:54:47"
"https://bluegrassdoodle.com/index.html","text/html","200","OK","Indexable","","Bluegrass Doodles | Kentucky's Premium Doodle Breeder","53","505","Premium Doodle breeder located in Southeastern Kentucky. Offering Goldendoodles, Cockapoo, Labradoodles and Bernedoodles.","121","797","Cockapoo breeders in KY, Doodle, doodle farms, lake cumberland, kentucky, doodle farm, farmer doodles, doodles shopify, f1 cockapoo, cockapoo, eastern kentucky, farm puppies, f1 doodle, f1b doodles, mini doodle, akc, top farm, premium doodles, mini goldendoodle ky for sale, doodles near me, doodles in kentucky","311","Bluegrass Doodles","17","","0","Our History","11","","0","","","","","","","","","","10743","3890","3890","1.379","","136","34","4.000","67.166","Normal","9.862","1","0","","28","12","0","48.000","18","13","0","4","4","0","","","","","b9e0b80df12265ff77e1794bd4136b43","0.287","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/index.html","2024-10-13 00:54:47"
"https://bluegrassdoodle.com/assets/js/jquery.dropotron.min.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1809","1809","1809","0.641","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.272","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/assets/js/jquery.dropotron.min.js","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/images/cockapooheader.jpg","text/html; charset=iso-8859-1","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","315","315","315","0.112","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.273","","","","","","1.1","","https://bluegrassdoodle.com/images/cockapooheader.jpg","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/contact.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","493","493","493","0.175","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.267","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/contact.js","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/amazon.html","text/html","200","OK","Indexable","","Bluegrass Doodle | Puppy Items","30","281","Find the perfect items for your new puppy.","42","261","Cockapoo in London, KY, Cockapoo Dogs and Puppies for sale, Cockapoo Pups, f1, f1b, f1bb, groodles, Cockapoo, Cockapoo Puppies For Sale, Cockerspaniel, Cocker Spaniel, Doodles kentucky, Poodle, AKC, Cockapoo Dogs London Kentucky, Bluegrass, Kentucky, Kentucky Doodles, Goldendoodles, Labradoodles, doodles, cockapoo puppies, goldendoodles red, hypoallergenic,","359","Bluegrass Doodles","17","","0","","0","","0","","","","","","","","","","14559","3970","3970","1.407","","77","28","2.750","78.792","Fairly Easy","4.348","1","0","","16","12","0","48.000","16","11","0","4","4","0","","","","","39244280d6c20a2f0d6cf1544084a743","0.280","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/amazon.html","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/assets/js/browser.min.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","831","831","831","0.295","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.286","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/assets/js/browser.min.js","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/goldendoodlelitters.html","text/html","200","OK","Indexable","","Bluegrass Doodles | Goldendoodle Puppies","40","380","Buy Stunning and curly-coated Goldendoodle Puppies from the trusted GoldenDoodle Breeder in London, Kentucky.","109","710","Cockapoo in London, KY, Cockapoo Dogs and Puppies for sale, Cockapoo Pups, f1, f1b, f1bb, groodles, Cockapoo, Cockapoo Puppies For Sale, Cockerspaniel, Cocker Spaniel, Doodles kentucky, Poodle, AKC, Cockapoo Dogs London Kentucky, Bluegrass, Kentucky, Kentucky Doodles, Goldendoodles, Labradoodles, doodles","305","Bluegrass Doodles","17","","0","","0","","0","","","","","","","","","","14317","3470","3470","1.230","","47","27","1.741","61.068","Normal","3.719","1","0","","17","12","0","48.000","17","11","0","4","4","0","","","","","d20b4a1e04136facdc44bba3bcae4514","0.262","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/goldendoodlelitters.html","2024-10-13 00:54:48"
